level,rarity,type,gold,food,lumber,marble,steel,crystal,duration
59,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
59,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
60,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
60,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
60,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
61,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
61,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
61,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
62,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
62,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
62,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
63,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
63,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
63,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
64,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
64,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
64,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
65,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
65,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
65,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
1,3,paper,0,2,0.64,0.64,0.96,0,0.08
1,3,scissors,0,2,0.64,0.96,0.64,0,0.08
1,3,rock,0,2,0.96,0.64,0.64,0,0.08
2,3,paper,0,2,0.64,0.64,0.96,0,0.08
2,3,scissors,0,2,0.64,0.96,0.64,0,0.08
2,3,rock,0,2,0.96,0.64,0.64,0,0.08
3,3,paper,0,2,0.64,0.64,0.96,0,0.08
3,3,scissors,0,2,0.64,0.96,0.64,0,0.08
3,3,rock,0,2,0.96,0.64,0.64,0,0.08
4,3,paper,0,2,0.64,0.64,0.96,0,0.08
4,3,scissors,0,2,0.64,0.96,0.64,0,0.08
4,3,rock,0,2,0.96,0.64,0.64,0,0.08
5,3,paper,0,2,0.64,0.64,0.96,0,0.08
5,3,scissors,0,2,0.64,0.96,0.64,0,0.08
5,3,rock,0,2,0.96,0.64,0.64,0,0.08
6,3,paper,0,1.5,0.48,0.48,0.72,0,0.08
