id,chapter,type,name,level,amount,rarity,force,produce,times,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,points_limit,locale_desc,unlock_id,switch_daily
101,7,pvp_times,,,,,,,5,,889,132350,280200,280200,280200,,,1,chapter_task_101_desc,0,
102,7,building_level,storage_lumber,7,,,,,,,0,132350,280200,280200,280200,,,1,chapter_task_102_desc,0,
103,7,building_level,storage_food,7,,,,,,,889,132350,280200,280200,280200,,,1,chapter_task_103_desc,0,
104,7,building_level,storage_steel,7,,,,,,,889,132350,280200,280200,280200,,,1,chapter_task_104_desc,0,
105,7,building_level,storage_marble,7,,,,,,,0,132350,280200,280200,280200,,,1,chapter_task_105_desc,0,
106,7,stronghold_amount,stronghold,,5,,,,,,889,132350,0,280200,280200,,,1,chapter_task_106_desc,0,
107,7,attack_npccity,,,,,,,10,,889,132350,0,280200,0,,,1,chapter_task_107_desc,0,
108,7,specify_building_level,tribute_gold_C,7,,,,,,,0,132350,280200,280200,280200,,,1,chapter_task_108_desc,0,
109,7,building_level,townhall,8,,,,,,,0,132350,280200,280200,280200,,,1,chapter_task_109_desc,0,
110,8,specify_building_level,paper_dominant_up_building,1,,,,,,,0,180200,360400,0,377600,,,1,chapter_task_110_desc,0,
111,8,specify_building_level,armycamp_A,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_111_desc,0,
112,8,hero_level,,36,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_112_desc,0,
113,8,specify_building_level,produce_lumber_C,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_113_desc,0,
114,8,specify_building_level,produce_steel_C,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_114_desc,0,
115,8,specify_building_level,produce_food_C,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_115_desc,0,
116,8,specify_building_level,produce_marble_C,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_116_desc,0,
117,8,specify_building_level,scissors_dominant_up_building,1,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_117_desc,0,
118,8,specify_building_level,march_speed_up_building,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_118_desc,0,
119,8,specify_building_level,siege_up_building,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_119_desc,0,
120,8,specify_building_level,rock_dominant_up_building,1,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_120_desc,0,
121,8,specify_building_level,hero_defence_up_building,8,,,,,,,905,180200,360400,396500,0,,,1,chapter_task_121_desc,0,
122,8,pvp_times,,,,,,,5,,905,180200,360400,396500,377600,,,1,chapter_task_122_desc,0,
123,8,specify_building_level,durability_up_building,8,,,,,,,0,180200,360400,0,377600,,,1,chapter_task_123_desc,0,
124,8,building_level,storage_lumber,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_124_desc,0,
125,8,building_level,storage_food,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_125_desc,0,
126,8,building_level,storage_steel,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_126_desc,0,
127,8,building_level,storage_marble,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_127_desc,0,
128,8,stronghold_amount,stronghold,,7,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_128_desc,0,
129,8,attack_npccity,,,,,,,10,,905,180200,360400,396500,377600,,,1,chapter_task_129_desc,0,
130,8,specify_building_level,tribute_gold_A,8,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_130_desc,0,
131,8,building_level,townhall,9,,,,,,,905,180200,360400,396500,377600,,,1,chapter_task_131_desc,0,
132,9,specify_building_level,armycamp_A,9,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_132_desc,0,
133,9,hero_level,,41,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_133_desc,0,
134,9,specify_building_level,produce_lumber_A,9,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_134_desc,0,
135,9,specify_building_level,produce_steel_A,9,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_135_desc,0,
136,9,specify_building_level,produce_food_A,9,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_136_desc,0,
137,9,specify_building_level,produce_marble_A,9,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_137_desc,0,
138,9,specify_building_level,march_speed_up_building,9,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_138_desc,0,
139,9,specify_building_level,siege_up_building,9,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_139_desc,0,
140,9,specify_building_level,hero_attack_up_building,9,,,,,,,1800,539700,1079400,1079400,1079400,,,1,chapter_task_140_desc,0,
