name,trigger,percent,hp_percent,trigger_interval,max_trigger_times,effect,description,cast_effect
hero_501_skill_1,ihit,1,0,0,20,"hero_501_skill_1_1,hero_501_skill_1_2",skilldes_hero_501_skill_1,
hero_502_skill_1,dead,1,0,1,20,"hero_502_skill_1_1,hero_502_skill_1_2",skilldes_hero_502_skill_1,
hero_503_skill_1,dead,1,0,1,20,hero_503_skill_1_1,skilldes_hero_503_skill_1,
hero_504_skill_1,dead,1,0,1,20,hero_504_skill_1_1,skilldes_hero_504_skill_1,
hero_505_skill_1,dead,1,0,1,20,hero_505_skill_1_1,skilldes_hero_505_skill_1,
hero_506_skill_1,dead,1,0,1,20,hero_506_skill_1_1,skilldes_hero_506_skill_1,
hero_507_skill_1,dead,1,0,1,20,hero_507_skill_1_1,skilldes_hero_507_skill_1,
hero_508_skill_1,hitme,0.25,0,1,20,"hero_508_skill_1_1,hero_508_skill_1_2",skilldes_hero_508_skill_1,
hero_509_skill_1,hp,0.33,0.5,1,20,"hero_509_skill_1_1,hero_509_skill_1_2",skilldes_hero_509_skill_1,
hero_510_skill_1,hitme,0.25,0,1,20,hero_510_skill_1_1,skilldes_hero_510_skill_1,
hero_511_skill_1,hitme,0.45,0,0,20,"hero_511_skill_1_1,hero_511_skill_1_2",skilldes_hero_511_skill_1,
hero_512_skill_1,dead,0.7,0,0,20,hero_512_skill_1_1,skilldes_hero_512_skill_1,
hero_513_skill_1,dead,0.9,0,0,20,"hero_513_skill_1_1,hero_513_skill_1_2",skilldes_hero_513_skill_1,
hero_514_skill_1,default,0.25,0,2,20,"hero_514_skill_1_1,hero_514_skill_1_2",skilldes_hero_514_skill_1,
hero_515_skill_1,default,0.33,0,2,20,"hero_515_skill_1_1,hero_515_skill_1_2",skilldes_hero_515_skill_1,
hero_516_skill_1,halo,1,0,2,20,"hero_516_skill_1_1,hero_516_skill_1_2",skilldes_hero_516_skill_1,
hero_517_skill_1,ihit,0.75,0,0,20,"hero_517_skill_1_1,hero_517_skill_1_2",skilldes_hero_517_skill_1,
hero_518_skill_1,dead,0.7,0,100,20,hero_518_skill_1_1,skilldes_hero_518_skill_1,
