hero,animation,function,time
hero_538,skill,ActionPlay,0.5
hero_538,victor,ActionPlay,0.2
hero_538,failed,ActionPlay,0.2
hero_538,failed,ActionEnd,0.2
hero_539,attack,ActionEnd,1
hero_539,attack,AudioPlay,0.33
hero_539,attack,ActionPlay,0.3
hero_539,skill,AudioPlay,0.44
hero_539,skill,ActionPlay,0.67
hero_539,victor,ActionPlay,0.2
hero_539,failed,ActionPlay,0.2
hero_539,failed,ActionEnd,0.2
hero_540,attack,ActionEnd,1.3
hero_540,attack,AudioPlay,0.4
hero_540,attack,ActionPlay,0.3
hero_540,skill,AudioPlay,0.4
hero_540,skill,ActionPlay,0.5
hero_540,victor,ActionPlay,0.2
hero_540,failed,ActionPlay,0.2
hero_540,failed,ActionEnd,0.2
hero_541,attack,ActionEnd,1.3
hero_541,attack,AudioPlay,0.4
hero_541,attack,ActionPlay,0.3
hero_541,skill,AudioPlay,0.4
hero_541,skill,ActionPlay,0.5
hero_541,victor,ActionPlay,0.2
hero_541,failed,ActionPlay,0.2
hero_541,failed,ActionEnd,0.2
hero_542,attack,ActionEnd,1.3
hero_542,attack,AudioPlay,0.4
hero_542,attack,ActionPlay,0.3
hero_542,skill,AudioPlay,0.4
hero_542,skill,ActionPlay,0.5
hero_542,victor,ActionPlay,0.2
hero_542,failed,ActionPlay,0.2
hero_542,failed,ActionEnd,0.2
hero_543,attack,ActionEnd,1.3
hero_543,attack,AudioPlay,0.4
hero_543,attack,ActionPlay,0.3
hero_543,skill,AudioPlay,0.4
hero_543,skill,ActionPlay,0.5
hero_543,victor,ActionPlay,0.2
hero_543,failed,ActionPlay,0.2
hero_543,failed,ActionEnd,0.2
hero_544,attack,ActionEnd,1.3
hero_544,attack,AudioPlay,0.4
hero_544,attack,ActionPlay,0.3
hero_544,skill,AudioPlay,0.4
hero_544,skill,ActionPlay,0.5
hero_544,victor,ActionPlay,0.2
