"name	",path,type
hero_501,hero_401,1
hero_502,hero_301,1
hero_503,hero_301,1
hero_504,hero_301,1
hero_505,hero_301,1
hero_506,hero_301,1
hero_507,hero_301,1
hero_508,hero_301,1
hero_509,hero_301,1
hero_510,hero_301,1
hero_511,hero_301,1
hero_512,hero_301,1
hero_513,hero_301,1
hero_514,hero_301,1
hero_515,hero_301,1
hero_516,hero_301,1
hero_517,hero_301,1
hero_518,hero_301,1
hero_519,hero_301,1
hero_520,hero_301,1
hero_521,hero_301,1
hero_522,hero_301,1
hero_523,hero_301,1
hero_524,hero_301,1
hero_525,hero_301,1
hero_526,hero_306,1
hero_527,hero_301,1
hero_528,hero_301,1
hero_529,hero_306,1
hero_530,hero_301,1
hero_531,hero_301,1
hero_532,hero_306,1
hero_533,hero_301,1
hero_534,hero_301,1
hero_535,hero_306,1
hero_536,hero_301,1
hero_537,hero_301,1
hero_538,hero_306,1
hero_539,hero_301,1
hero_540,hero_301,1
hero_541,hero_306,1
hero_542,hero_301,1
hero_543,hero_301,1
hero_544,hero_306,1
hero_545,hero_301,1
hero_546,hero_301,1
hero_547,hero_306,1
hero_548,hero_301,1
hero_549,hero_301,1
hero_550,hero_306,1
