name,force,interval,gem,gold,lumber,marble,steel,food,crystal
tribute_1,0,3,0,1,500,0,0,200,0
tribute_2,0,3,0,1,500,0,0,200,0
tribute_3,0,3,0,1,500,0,0,200,0
tribute_4,0,3,0,1,500,0,0,400,0
tribute_5,50,3,0,2,2300,0,0,500,0
tribute_6,50,3,0,2,500,0,0,500,0
tribute_7,50,3,0,2,500,0,0,500,0
tribute_8,50,3,0,2,500,0,0,900,0
tribute_9,50,3,0,2,2300,0,0,500,0
tribute_10,50,3,0,2,500,0,0,500,0
tribute_11,50,3,0,2,500,0,0,500,0
tribute_12,50,3,0,2,500,0,0,900,0
tribute_13,50,3,0,2,2300,0,0,500,0
tribute_14,50,3,0,2,500,0,0,500,0
tribute_15,50,3,0,2,500,0,0,500,0
tribute_16,50,3,0,2,500,0,0,900,0
tribute_17,50,3,0,2,2300,0,0,500,0
tribute_18,50,3,0,2,500,0,0,500,0
tribute_19,50,3,0,2,500,0,0,500,0
tribute_20,50,3,0,2,500,0,0,900,0
tribute_21,50,3,0,2,2300,0,0,500,0
tribute_22,50,3,0,2,500,0,0,500,0
tribute_23,50,3,0,2,2300,0,0,500,0
tribute_24,50,3,0,2,500,0,0,500,0
tribute_25,50,3,0,2,500,0,0,500,0
tribute_26,50,3,0,2,500,0,0,900,0
tribute_27,50,3,0,2,2300,0,0,500,0
tribute_28,50,3,0,2,500,0,0,500,0
tribute_29,50,3,0,2,500,0,0,500,0
tribute_30,50,3,0,2,500,0,0,900,0
tribute_31,50,3,0,2,2300,0,0,500,0
tribute_32,50,3,0,2,500,0,0,500,0
tribute_33,50,3,0,2,500,0,0,500,0
tribute_34,50,3,0,2,500,0,0,900,0
tribute_35,50,3,0,2,2300,0,0,500,0
tribute_36,50,3,0,2,500,0,0,500,0
tribute_37,50,3,0,2,500,0,0,500,0
tribute_38,50,3,0,2,500,0,0,900,0
tribute_39,50,3,0,2,2300,0,0,500,0
tribute_40,50,3,0,2,500,0,0,500,0
tribute_41,175,3,0,4,6800,0,1400,1400,0
tribute_42,175,3,0,4,1400,0,1400,1400,0
tribute_43,175,3,0,4,1400,0,6800,1400,0
tribute_44,175,3,0,4,1400,0,1400,2700,0
tribute_45,175,3,0,4,6800,0,1400,1400,0
tribute_46,175,3,0,4,1400,0,1400,1400,0
tribute_47,175,3,0,4,1400,0,6800,1400,0
tribute_48,175,3,0,4,1400,0,1400,2700,0
tribute_49,175,3,0,4,6800,0,1400,1400,0
tribute_50,175,3,0,4,1400,0,1400,1400,0
