rarity,level,level_up_percent,fragments,level_gold
2,26,105.2,100,3200
2,27,115.2,100,3600
2,28,125.2,100,4000
2,29,135.2,100,4500
2,30,145.2,200,5000
2,31,163.2,200,5500
2,32,181.2,200,6000
2,33,199.2,200,6500
2,34,217.2,200,7000
2,35,235.2,400,8000
2,36,255.2,400,9000
2,37,275.2,400,10000
2,38,295.2,400,11000
2,39,315.2,400,12000
2,40,335.2,800,15000
2,41,359.2,800,18000
2,42,383.2,800,20000
2,43,407.2,800,24000
2,44,431.2,800,30000
2,45,455.2,1000,40000
2,46,483.2,1000,50000
2,47,511.2,1000,60000
2,48,539.2,1000,70000
2,49,567.2,1000,80000
2,50,595.2,2000,100000
2,51,635.2,2000,200000
2,52,675.2,2000,300000
2,53,715.2,2000,400000
2,54,755.2,2000,500000
2,55,795.2,5000,600000
2,56,835.2,5000,700000
2,57,875.2,5000,800000
2,58,915.2,5000,900000
2,59,955.2,5000,1000000
2,60,995.2,20000,1100000
2,61,1035.2,40000,1200000
2,62,1075.2,60000,1300000
2,63,1115.2,80000,1400000
2,64,1155.2,100000,1500000
2,65,1195.2,0,0
3,1,0,1,180
3,2,1.6,2,200
3,3,3.2,2,220
3,4,4.8,2,240
3,5,6.4,4,300
3,6,9.6,4,350
3,7,12.8,4,400
3,8,16,4,450
3,9,19.2,4,500
3,10,22.4,10,600
