id,type,townhall_level,name,level,amount,force,produce,times,vitality,locale_desc
151,occupied_resource_times,7,,7,,,,3,15,task_daily_151_desc
152,battle_win,7,,,,,,3,5,task_daily_152_desc
153,battle_win,7,,,,,,5,10,task_daily_153_desc
154,battle_win,7,,,,,,8,15,task_daily_154_desc
155,recruit,7,,,,,,10,5,task_daily_155_desc
156,recruit,7,,,,,,11,10,task_daily_156_desc
157,recruit_amount,7,,,200000,,,,5,task_daily_157_desc
158,hero_levelup_times,7,,,,,,4,5,task_daily_158_desc
159,hero_levelup_times,7,,,,,,5,10,task_daily_159_desc
160,hero_levelup_times,7,,,,,,7,15,task_daily_160_desc
161,pvp_times,7,,,,,,1,5,task_daily_161_desc
162,pvp_times,7,,,,,,2,10,task_daily_162_desc
163,pvp_times,7,,,,,,3,15,task_daily_163_desc
164,building_levelup_times,7,,,,,,1,5,task_daily_164_desc
165,building_levelup_times,7,,,,,,2,10,task_daily_165_desc
166,building_levelup_times,7,,,,,,3,15,task_daily_166_desc
167,resource_produce,7,marble,,,,400,,5,task_daily_167_desc
168,resource_produce,7,marble,,,,800,,10,task_daily_168_desc
169,resource_produce,7,marble,,,,1200,,15,task_daily_169_desc
170,force,7,,,,300,,,5,task_daily_170_desc
171,force,7,,,,360,,,10,task_daily_171_desc
172,force,7,,,,420,,,15,task_daily_172_desc
173,get_tribute_times,7,,,,,,1,5,task_daily_173_desc
174,get_tribute_times,7,,,,,,2,10,task_daily_174_desc
175,get_tribute_times,7,,,,,,4,15,task_daily_175_desc
176,gold_totalamount,7,,,1200,,,,5,task_daily_176_desc
177,gold_totalamount,7,,,2400,,,,10,task_daily_177_desc
178,gold_totalamount,7,,,4000,,,,15,task_daily_178_desc
179,resource_revoke,7,,,1,,,,5,task_daily_179_desc
180,resource_revoke,7,,,2,,,,10,task_daily_180_desc
181,resource_revoke,7,,,4,,,,15,task_daily_181_desc
182,attack_npccity,7,,,,,,1,5,task_daily_182_desc
183,attack_npccity,7,,,,,,2,10,task_daily_183_desc
184,attack_npccity,7,,,,,,3,15,task_daily_184_desc
185,attack_pass,7,,,,,,1,5,task_daily_185_desc
186,attack_pass,7,,,,,,2,10,task_daily_186_desc
187,attack_pass,7,,,,,,3,15,task_daily_187_desc
188,occupied_resource_times,8,,7,,,,1,5,task_daily_188_desc
189,occupied_resource_times,8,,7,,,,2,10,task_daily_189_desc
190,occupied_resource_times,8,,8,,,,1,10,task_daily_190_desc
191,occupied_resource_times,8,,8,,,,2,15,task_daily_191_desc
192,occupied_resource_times,8,,8,,,,3,15,task_daily_192_desc
193,battle_win,8,,,,,,3,5,task_daily_193_desc
194,battle_win,8,,,,,,5,10,task_daily_194_desc
195,battle_win,8,,,,,,8,15,task_daily_195_desc
196,recruit,8,,,,,,12,5,task_daily_196_desc
197,recruit,8,,,,,,13,10,task_daily_197_desc
198,recruit_amount,8,,,375000,,,,5,task_daily_198_desc
199,hero_levelup_times,8,,,,,,4,5,task_daily_199_desc
200,hero_levelup_times,8,,,,,,5,10,task_daily_200_desc
