name,tiers,target,type,percent,damage,defence,health,shield,speed,round,can_be_dispel,drop_effect,hit_effect
hero_583_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_583_skill_2_1,1,selector_self,damup,0.12,,,,,,100,TRUE,,
hero_583_skill_3_1,1,selector_all,confuse,,,,,,,1,TRUE,,
hero_583_skill_4_1,1,selector_col,defdown,0.6,,,,,,3,TRUE,,
hero_583_skill_5_1,1,selector_col,damage,0.72,,,,,,,,,
hero_583_skill_6_1,1,selector_lowesthp,damage,1.2,,,,,,,,,
hero_584_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_585_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_586_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_586_skill_2_1,1,selector_self,damup,0.0945,,,,,,100,TRUE,,
hero_586_skill_3_1,1,selector_all,confuse,,,,,,,1,TRUE,,
hero_586_skill_4_1,1,selector_col,defdown,9,,,,,,3,TRUE,,
hero_586_skill_5_1,1,selector_col,damage,0.6,,,,,,,,,
hero_586_skill_6_1,1,selector_lowesthp,damage,0.99,,,,,,,,,
hero_587_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_588_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_589_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_589_skill_2_1,1,selector_self,damup,0.1425,,,,,,100,TRUE,,
hero_589_skill_3_1,1,selector_all,dot,0.0975,,,,,,3,TRUE,,
hero_589_skill_4_1,1,selector_col,confuse,,,,,,,2,TRUE,,
hero_589_skill_5_1,1,selector_col,seduction,,,,,,,2,TRUE,,
hero_589_skill_6_1,1,selector_lowesthp,damage,1.425,,,,,,,,,
hero_590_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_591_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_592_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_592_skill_2_1,1,selector_self,damup,0.12,,,,,,100,TRUE,,
hero_592_skill_3_1,1,selector_all,dot,0.0825,,,,,,3,TRUE,,
hero_592_skill_4_1,1,selector_col,confuse,,,,,,,2,TRUE,,
hero_592_skill_5_1,1,selector_col,seduction,,,,,,,2,TRUE,,
hero_592_skill_6_1,1,selector_lowesthp,damage,1.17,,,,,,,,,
hero_593_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_594_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_595_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_595_skill_2_1,1,selector_self,damup,0.0945,,,,,,100,TRUE,,
hero_595_skill_3_1,1,selector_all,dot,0.06,,,,,,3,TRUE,,
hero_595_skill_4_1,1,selector_col,confuse,,,,,,,2,TRUE,,
hero_595_skill_5_1,1,selector_col,seduction,,,,,,,2,TRUE,,
hero_595_skill_6_1,1,selector_lowesthp,damage,0.945,,,,,,,,,
hero_596_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_597_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_598_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_598_skill_2_1,1,selector_self,damup,0.1425,,,,,,100,TRUE,,
hero_598_skill_3_1,1,selector_all,damage,0.285,,,,,,,,,
hero_598_skill_4_1,1,selector_row1_all,stun,,,,,,,2,TRUE,,
hero_598_skill_5_1,1,selector_row2_all,silence,,,,,,,2,TRUE,,
hero_598_skill_6_1,1,selector_lowesthp,damage,1.425,,,,,,,,,
hero_599_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_600_skill_1_1,1,selector_self,seductionimmu,,,,,,,,FALSE,,
hero_601_skill_1_1,1,selector_self,silenceimmu,,,,,,,,FALSE,,
hero_601_skill_2_1,1,selector_self,damup,0.12,,,,,,100,TRUE,,
