level,rarity,type,gold,food,lumber,marble,steel,crystal,duration
34,1,scissors,0,1.1,0.35,0.53,0.35,0,0.08
34,1,rock,0,1.1,0.53,0.35,0.35,0,0.08
35,1,paper,0,1.1,0.35,0.35,0.53,0,0.08
35,1,scissors,0,1.1,0.35,0.53,0.35,0,0.08
35,1,rock,0,1.1,0.53,0.35,0.35,0,0.08
36,1,paper,0,1,0.32,0.32,0.48,0,0.08
36,1,scissors,0,1,0.32,0.48,0.32,0,0.08
36,1,rock,0,1,0.48,0.32,0.32,0,0.08
37,1,paper,0,1,0.32,0.32,0.48,0,0.08
37,1,scissors,0,1,0.32,0.48,0.32,0,0.08
37,1,rock,0,1,0.48,0.32,0.32,0,0.08
38,1,paper,0,1,0.32,0.32,0.48,0,0.08
38,1,scissors,0,1,0.32,0.48,0.32,0,0.08
38,1,rock,0,1,0.48,0.32,0.32,0,0.08
39,1,paper,0,1,0.32,0.32,0.48,0,0.08
39,1,scissors,0,1,0.32,0.48,0.32,0,0.08
39,1,rock,0,1,0.48,0.32,0.32,0,0.08
40,1,paper,0,1,0.32,0.32,0.48,0,0.08
40,1,scissors,0,1,0.32,0.48,0.32,0,0.08
40,1,rock,0,1,0.48,0.32,0.32,0,0.08
41,1,paper,0,0.8,0.26,0.26,0.38,0,0.08
41,1,scissors,0,0.8,0.26,0.38,0.26,0,0.08
41,1,rock,0,0.8,0.38,0.26,0.26,0,0.08
42,1,paper,0,0.8,0.26,0.26,0.38,0,0.08
42,1,scissors,0,0.8,0.26,0.38,0.26,0,0.08
42,1,rock,0,0.8,0.38,0.26,0.26,0,0.08
43,1,paper,0,0.8,0.26,0.26,0.38,0,0.08
43,1,scissors,0,0.8,0.26,0.38,0.26,0,0.08
43,1,rock,0,0.8,0.38,0.26,0.26,0,0.08
44,1,paper,0,0.8,0.26,0.26,0.38,0,0.08
44,1,scissors,0,0.8,0.26,0.38,0.26,0,0.08
44,1,rock,0,0.8,0.38,0.26,0.26,0,0.08
45,1,paper,0,0.8,0.26,0.26,0.38,0,0.08
45,1,scissors,0,0.8,0.26,0.38,0.26,0,0.08
45,1,rock,0,0.8,0.38,0.26,0.26,0,0.08
46,1,paper,0,0.7,0.22,0.22,0.34,0,0.08
46,1,scissors,0,0.7,0.22,0.34,0.22,0,0.08
46,1,rock,0,0.7,0.34,0.22,0.22,0,0.08
47,1,paper,0,0.7,0.22,0.22,0.34,0,0.08
47,1,scissors,0,0.7,0.22,0.34,0.22,0,0.08
47,1,rock,0,0.7,0.34,0.22,0.22,0,0.08
48,1,paper,0,0.7,0.22,0.22,0.34,0,0.08
48,1,scissors,0,0.7,0.22,0.34,0.22,0,0.08
48,1,rock,0,0.7,0.34,0.22,0.22,0,0.08
49,1,paper,0,0.7,0.22,0.22,0.34,0,0.08
49,1,scissors,0,0.7,0.22,0.34,0.22,0,0.08
49,1,rock,0,0.7,0.34,0.22,0.22,0,0.08
50,1,paper,0,0.7,0.22,0.22,0.34,0,0.08
50,1,scissors,0,0.7,0.22,0.34,0.22,0,0.08
50,1,rock,0,0.7,0.34,0.22,0.22,0,0.08
51,1,paper,0,0.6,0.19,0.19,0.29,0,0.08
51,1,scissors,0,0.6,0.19,0.29,0.19,0,0.08
51,1,rock,0,0.6,0.29,0.19,0.19,0,0.08
52,1,paper,0,0.6,0.19,0.19,0.29,0,0.08
52,1,scissors,0,0.6,0.19,0.29,0.19,0,0.08
52,1,rock,0,0.6,0.29,0.19,0.19,0,0.08
53,1,paper,0,0.6,0.19,0.19,0.29,0,0.08
53,1,scissors,0,0.6,0.19,0.29,0.19,0,0.08
53,1,rock,0,0.6,0.29,0.19,0.19,0,0.08
54,1,paper,0,0.6,0.19,0.19,0.29,0,0.08
54,1,scissors,0,0.6,0.19,0.29,0.19,0,0.08
54,1,rock,0,0.6,0.29,0.19,0.19,0,0.08
55,1,paper,0,0.6,0.19,0.19,0.29,0,0.08
55,1,scissors,0,0.6,0.19,0.29,0.19,0,0.08
55,1,rock,0,0.6,0.29,0.19,0.19,0,0.08
56,1,paper,0,0.5,0.16,0.16,0.24,0,0.08
56,1,scissors,0,0.5,0.16,0.24,0.16,0,0.08
56,1,rock,0,0.5,0.24,0.16,0.16,0,0.08
57,1,paper,0,0.5,0.16,0.16,0.24,0,0.08
57,1,scissors,0,0.5,0.16,0.24,0.16,0,0.08
57,1,rock,0,0.5,0.24,0.16,0.16,0,0.08
58,1,paper,0,0.5,0.16,0.16,0.24,0,0.08
58,1,scissors,0,0.5,0.16,0.24,0.16,0,0.08
58,1,rock,0,0.5,0.24,0.16,0.16,0,0.08
59,1,paper,0,0.5,0.16,0.16,0.24,0,0.08
59,1,scissors,0,0.5,0.16,0.24,0.16,0,0.08
59,1,rock,0,0.5,0.24,0.16,0.16,0,0.08
60,1,paper,0,0.5,0.16,0.16,0.24,0,0.08
60,1,scissors,0,0.5,0.16,0.24,0.16,0,0.08
60,1,rock,0,0.5,0.24,0.16,0.16,0,0.08
61,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
61,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
61,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
62,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
62,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
62,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
63,1,paper,0,0.45,0.14,0.14,0.22,0,0.08
63,1,scissors,0,0.45,0.14,0.22,0.14,0,0.08
63,1,rock,0,0.45,0.22,0.14,0.14,0,0.08
