id,category,type,name,level,amount,tier,force,produce,times,gem,gold,food,lumber,marble,steel,crystal,hero_fragments,locale_title,locale_desc
51,normal,building_level,townhall,5,,,,,,,0,0,15700,0,17100,,,task_51_title,task_51_desc
52,special,building_level,armycamp,5,,,,,,,0,0,40500,0,44200,,,task_52_title,task_52_desc
53,normal,resource_level,,4,,,,,5,,686,0,0,0,0,,,task_53_title,task_53_desc
54,normal,building_level,tavern,5,,,,,,,0,0,40500,0,44200,,,task_54_title,task_54_desc
55,normal,battle_win,,,,,,,5,,686,0,40500,97200,0,,,task_55_title,task_55_desc
56,normal,get_tribute_times,,,,,,,1,,0,0,40500,0,44200,,,task_56_title,task_56_desc
57,normal,building_level,templeofthewoods,4,,,,,,,0,0,40500,0,44200,,,task_57_title,task_57_desc
58,normal,recruit,,,,,,,13,,0,0,40500,97200,44200,,,task_58_title,task_58_desc
59,normal,resource_amount,,,84,,,,,,0,97200,40500,0,0,,,task_59_title,task_59_desc
60,normal,building_level,hallofstone,3,,,,,,,0,0,40500,0,44200,,,task_60_title,task_60_desc
61,normal,hero_level,,21,,,,,,,0,97200,0,0,44200,,,task_61_title,task_61_desc
62,special,resource_level,,5,,,,,1,,686,0,0,0,0,,,task_62_title,task_62_desc
63,normal,recruit,,,,,,,14,,0,0,40500,97200,44200,,,task_63_title,task_63_desc
64,normal,hero_amount,,,13,,,,,,0,0,0,97200,44200,,,task_64_title,task_64_desc
65,normal,pvp_times,,,,,,,3,,0,0,40500,97200,44200,,,task_65_title,task_65_desc
66,normal,stronghold_amount,,,5,,,,,,686,0,0,0,0,,,task_66_title,task_66_desc
67,normal,recruit_amount,,,26500,,,,,,686,0,0,0,0,,,task_67_title,task_67_desc
68,normal,resource_level,,5,,,,,3,,686,0,0,0,0,,,task_68_title,task_68_desc
69,special,resource_produce,lumber,,,,,12338,,,686,0,0,0,0,,,task_69_title,task_69_desc
70,normal,building_level,storage,5,,,,,,,0,0,40500,0,44200,,,task_70_title,task_70_desc
71,normal,hero_amount,,,14,,,,,,0,0,0,97200,44200,,,task_71_title,task_71_desc
72,normal,attack_npccity,,,,,,,25,,686,0,0,0,0,,,task_72_title,task_72_desc
73,normal,gold_totalamount,,,24000,,,,,,0,97200,40500,0,0,,,task_73_title,task_73_desc
74,normal,stronghold_amount,,,6,,,,,,686,0,0,0,0,,,task_74_title,task_74_desc
75,normal,attack_pass,,,,,,,13,,686,97200,0,97200,0,,,task_75_title,task_75_desc
76,special,hero_amount,,,15,,,,,,0,0,0,97200,44200,,,task_76_title,task_76_desc
77,normal,get_tribute_times,,,,,,,3,,0,0,40500,0,44200,,,task_77_title,task_77_desc
78,normal,battle_win,,,,,,,10,,686,0,40500,97200,0,,,task_78_title,task_78_desc
79,normal,force,,,,,80,,,,0,97200,0,0,0,,,task_79_title,task_79_desc
80,normal,resource_produce,steel,,,,,19740,,,686,0,0,0,0,,,task_80_title,task_80_desc
81,normal,gold_totalamount,,,48000,,,,,,0,97200,40500,0,0,,,task_81_title,task_81_desc
82,normal,attack_npccity,,,,,,,30,,686,0,0,0,0,,,task_82_title,task_82_desc
83,normal,attack_pass,,,,,,,15,,686,97200,0,97200,0,,,task_83_title,task_83_desc
84,special,pvp_times,,,,,,,5,,0,0,40500,97200,44200,,,task_84_title,task_84_desc
85,normal,building_level,townhall,6,,,,,,,0,0,40500,0,44200,,,task_85_title,task_85_desc
86,special,specify_building_level,armycamp_D,1,,,,,,,0,0,99500,170600,108600,,,task_86_title,task_86_desc
87,normal,specify_building_level,armycamp_D,6,,,,,,,0,0,99500,170600,108600,,,task_87_title,task_87_desc
88,normal,building_amount,,,9,,,,,,0,170600,0,170600,0,,,task_88_title,task_88_desc
89,normal,resource_level,,5,,,,,5,,2286,0,0,0,0,,,task_89_title,task_89_desc
90,normal,recruit_amount,,,60000,,,,,,2286,0,0,0,0,,,task_90_title,task_90_desc
91,normal,troop_add_hero,armycamp_D,,,,,,4,,0,170600,0,0,0,,,task_91_title,task_91_desc
92,normal,building_level,tavern,6,,,,,,,0,0,99500,0,108600,,,task_92_title,task_92_desc
93,special,battle_win,,,,,,,5,,2286,0,99500,170600,0,,,task_93_title,task_93_desc
94,normal,get_tribute_times,,,,,,,1,,0,0,99500,0,108600,,,task_94_title,task_94_desc
95,normal,building_level,templeofthewoods,5,,,,,,,0,0,99500,0,108600,,,task_95_title,task_95_desc
96,normal,recruit,,,,,,,16,,0,0,99500,170600,108600,,,task_96_title,task_96_desc
97,normal,resource_amount,,,105,,,,,,0,170600,99500,0,0,,,task_97_title,task_97_desc
98,normal,building_level,hallofstone,4,,,,,,,0,0,99500,0,108600,,,task_98_title,task_98_desc
99,normal,hero_level,,26,,,,,,,0,170600,0,0,108600,,,task_99_title,task_99_desc
100,special,resource_level,,6,,,,,1,,2286,0,0,0,0,,,task_100_title,task_100_desc
