level,rarity,type,gold,food,lumber,marble,steel,crystal,duration
26,2,paper,0,1,0.32,0.32,0.48,0,0.08
26,2,scissors,0,1,0.32,0.48,0.32,0,0.08
26,2,rock,0,1,0.48,0.32,0.32,0,0.08
27,2,paper,0,1,0.32,0.32,0.48,0,0.08
27,2,scissors,0,1,0.32,0.48,0.32,0,0.08
27,2,rock,0,1,0.48,0.32,0.32,0,0.08
28,2,paper,0,1,0.32,0.32,0.48,0,0.08
28,2,scissors,0,1,0.32,0.48,0.32,0,0.08
28,2,rock,0,1,0.48,0.32,0.32,0,0.08
29,2,paper,0,1,0.32,0.32,0.48,0,0.08
29,2,scissors,0,1,0.32,0.48,0.32,0,0.08
29,2,rock,0,1,0.48,0.32,0.32,0,0.08
30,2,paper,0,1,0.32,0.32,0.48,0,0.08
30,2,scissors,0,1,0.32,0.48,0.32,0,0.08
30,2,rock,0,1,0.48,0.32,0.32,0,0.08
31,2,paper,0,0.8,0.26,0.26,0.38,0,0.08
31,2,scissors,0,0.8,0.26,0.38,0.26,0,0.08
31,2,rock,0,0.8,0.38,0.26,0.26,0,0.08
32,2,paper,0,0.8,0.26,0.26,0.38,0,0.08
32,2,scissors,0,0.8,0.26,0.38,0.26,0,0.08
32,2,rock,0,0.8,0.38,0.26,0.26,0,0.08
33,2,paper,0,0.8,0.26,0.26,0.38,0,0.08
33,2,scissors,0,0.8,0.26,0.38,0.26,0,0.08
33,2,rock,0,0.8,0.38,0.26,0.26,0,0.08
34,2,paper,0,0.8,0.26,0.26,0.38,0,0.08
34,2,scissors,0,0.8,0.26,0.38,0.26,0,0.08
34,2,rock,0,0.8,0.38,0.26,0.26,0,0.08
35,2,paper,0,0.8,0.26,0.26,0.38,0,0.08
35,2,scissors,0,0.8,0.26,0.38,0.26,0,0.08
35,2,rock,0,0.8,0.38,0.26,0.26,0,0.08
36,2,paper,0,0.7,0.22,0.22,0.34,0,0.08
36,2,scissors,0,0.7,0.22,0.34,0.22,0,0.08
36,2,rock,0,0.7,0.34,0.22,0.22,0,0.08
37,2,paper,0,0.7,0.22,0.22,0.34,0,0.08
37,2,scissors,0,0.7,0.22,0.34,0.22,0,0.08
37,2,rock,0,0.7,0.34,0.22,0.22,0,0.08
38,2,paper,0,0.7,0.22,0.22,0.34,0,0.08
38,2,scissors,0,0.7,0.22,0.34,0.22,0,0.08
38,2,rock,0,0.7,0.34,0.22,0.22,0,0.08
39,2,paper,0,0.7,0.22,0.22,0.34,0,0.08
39,2,scissors,0,0.7,0.22,0.34,0.22,0,0.08
39,2,rock,0,0.7,0.34,0.22,0.22,0,0.08
40,2,paper,0,0.7,0.22,0.22,0.34,0,0.08
40,2,scissors,0,0.7,0.22,0.34,0.22,0,0.08
40,2,rock,0,0.7,0.34,0.22,0.22,0,0.08
41,2,paper,0,0.6,0.19,0.19,0.29,0,0.08
41,2,scissors,0,0.6,0.19,0.29,0.19,0,0.08
41,2,rock,0,0.6,0.29,0.19,0.19,0,0.08
42,2,paper,0,0.6,0.19,0.19,0.29,0,0.08
42,2,scissors,0,0.6,0.19,0.29,0.19,0,0.08
42,2,rock,0,0.6,0.29,0.19,0.19,0,0.08
43,2,paper,0,0.6,0.19,0.19,0.29,0,0.08
43,2,scissors,0,0.6,0.19,0.29,0.19,0,0.08
43,2,rock,0,0.6,0.29,0.19,0.19,0,0.08
44,2,paper,0,0.6,0.19,0.19,0.29,0,0.08
44,2,scissors,0,0.6,0.19,0.29,0.19,0,0.08
44,2,rock,0,0.6,0.29,0.19,0.19,0,0.08
45,2,paper,0,0.6,0.19,0.19,0.29,0,0.08
45,2,scissors,0,0.6,0.19,0.29,0.19,0,0.08
45,2,rock,0,0.6,0.29,0.19,0.19,0,0.08
46,2,paper,0,0.5,0.16,0.16,0.24,0,0.08
46,2,scissors,0,0.5,0.16,0.24,0.16,0,0.08
46,2,rock,0,0.5,0.24,0.16,0.16,0,0.08
47,2,paper,0,0.5,0.16,0.16,0.24,0,0.08
47,2,scissors,0,0.5,0.16,0.24,0.16,0,0.08
47,2,rock,0,0.5,0.24,0.16,0.16,0,0.08
48,2,paper,0,0.5,0.16,0.16,0.24,0,0.08
48,2,scissors,0,0.5,0.16,0.24,0.16,0,0.08
48,2,rock,0,0.5,0.24,0.16,0.16,0,0.08
49,2,paper,0,0.5,0.16,0.16,0.24,0,0.08
49,2,scissors,0,0.5,0.16,0.24,0.16,0,0.08
49,2,rock,0,0.5,0.24,0.16,0.16,0,0.08
50,2,paper,0,0.5,0.16,0.16,0.24,0,0.08
50,2,scissors,0,0.5,0.16,0.24,0.16,0,0.08
50,2,rock,0,0.5,0.24,0.16,0.16,0,0.08
51,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
51,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
51,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
52,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
52,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
52,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
53,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
53,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
53,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
54,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
54,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
54,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
55,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
55,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
55,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
56,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
56,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
56,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
57,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
57,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
57,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
58,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
58,2,scissors,0,0.45,0.14,0.22,0.14,0,0.08
58,2,rock,0,0.45,0.22,0.14,0.14,0,0.08
59,2,paper,0,0.45,0.14,0.14,0.22,0,0.08
