name,force,interval,gem,gold,lumber,marble,steel,food,crystal
tribute_801,1449265,3,0,116,309400,61900,61900,61900,0
tribute_802,1449265,3,0,116,61900,309400,61900,61900,0
tribute_803,1449265,3,0,116,61900,61900,309400,61900,0
tribute_804,1449265,3,0,116,61900,61900,61900,123800,0
tribute_805,1449265,3,0,116,309400,61900,61900,61900,0
tribute_806,1449265,3,0,116,61900,309400,61900,61900,0
tribute_807,1449265,3,0,116,61900,61900,309400,61900,0
tribute_808,1449265,3,0,116,61900,61900,61900,123800,0
tribute_809,1449265,3,0,116,309400,61900,61900,61900,0
tribute_810,1449265,3,0,116,61900,309400,61900,61900,0
tribute_811,1449265,3,0,116,61900,61900,309400,61900,0
tribute_812,1449265,3,0,116,61900,61900,61900,123800,0
tribute_813,1449265,3,0,116,309400,61900,61900,61900,0
tribute_814,1449265,3,0,116,61900,309400,61900,61900,0
tribute_815,1449265,3,0,116,61900,61900,309400,61900,0
tribute_816,1449265,3,0,116,61900,61900,61900,123800,0
tribute_817,1449265,3,0,116,309400,61900,61900,61900,0
tribute_818,1449265,3,0,116,61900,309400,61900,61900,0
tribute_819,1449265,3,0,116,61900,61900,309400,61900,0
tribute_820,1449265,3,0,116,61900,61900,61900,123800,0
tribute_821,1449265,3,0,116,309400,61900,61900,61900,0
tribute_822,1449265,3,0,116,61900,309400,61900,61900,0
tribute_823,1449265,3,0,116,61900,61900,309400,61900,0
tribute_824,1449265,3,0,116,61900,61900,61900,123800,0
tribute_825,1449265,3,0,116,309400,61900,61900,61900,0
tribute_826,1449265,3,0,116,61900,309400,61900,61900,0
tribute_827,1449265,3,0,116,61900,61900,309400,61900,0
tribute_828,1449265,3,0,116,61900,61900,61900,123800,0
tribute_829,1449265,3,0,116,309400,61900,61900,61900,0
tribute_830,1449265,3,0,116,61900,309400,61900,61900,0
tribute_831,1449265,3,0,116,61900,61900,309400,61900,0
tribute_832,1449265,3,0,116,61900,61900,61900,123800,0
tribute_833,1449265,3,0,116,309400,61900,61900,61900,0
tribute_834,1449265,3,0,116,61900,309400,61900,61900,0
tribute_835,1449265,3,0,116,61900,61900,309400,61900,0
tribute_836,1449265,3,0,116,61900,61900,61900,123800,0
tribute_837,1449265,3,0,116,309400,61900,61900,61900,0
tribute_838,1449265,3,0,116,61900,309400,61900,61900,0
tribute_839,1449265,3,0,116,61900,61900,309400,61900,0
tribute_840,1449265,3,0,116,61900,61900,61900,123800,0
tribute_841,1449265,3,0,116,309400,61900,61900,61900,0
tribute_842,1449265,3,0,116,61900,309400,61900,61900,0
tribute_843,1449265,3,0,116,61900,61900,309400,61900,0
tribute_844,1449265,3,0,116,61900,61900,61900,123800,0
tribute_845,1449265,3,0,116,309400,61900,61900,61900,0
tribute_846,1449265,3,0,116,61900,309400,61900,61900,0
tribute_847,1449265,3,0,116,61900,61900,309400,61900,0
tribute_848,1449265,3,0,116,61900,61900,61900,123800,0
tribute_849,1449265,3,0,116,309400,61900,61900,61900,0
tribute_850,1449265,3,0,116,61900,309400,61900,61900,0
