id,type,townhall_level,name,level,amount,force,produce,times,vitality,locale_desc
351,occupied_resource_times,12,,11,,,,2,10,task_daily_351_desc
352,occupied_resource_times,12,,12,,,,1,10,task_daily_352_desc
353,battle_win,12,,,,,,3,5,task_daily_353_desc
354,battle_win,12,,,,,,5,10,task_daily_354_desc
355,battle_win,12,,,,,,8,15,task_daily_355_desc
356,recruit,12,,,,,,20,5,task_daily_356_desc
357,recruit,12,,,,,,21,10,task_daily_357_desc
358,recruit_amount,12,,,2880000,,,,5,task_daily_358_desc
359,hero_levelup_times,12,,,,,,3,5,task_daily_359_desc
360,hero_levelup_times,12,,,,,,4,10,task_daily_360_desc
361,hero_levelup_times,12,,,,,,5,15,task_daily_361_desc
362,pvp_times,12,,,,,,1,5,task_daily_362_desc
363,pvp_times,12,,,,,,2,10,task_daily_363_desc
364,pvp_times,12,,,,,,3,15,task_daily_364_desc
365,building_levelup_times,12,,,,,,1,5,task_daily_365_desc
366,building_levelup_times,12,,,,,,2,10,task_daily_366_desc
367,building_levelup_times,12,,,,,,3,15,task_daily_367_desc
368,resource_produce,12,marble,,,,400,,5,task_daily_368_desc
369,resource_produce,12,lumber,,,,800,,10,task_daily_369_desc
370,resource_produce,12,steel,,,,1200,,15,task_daily_370_desc
371,force,12,,,,480,,,5,task_daily_371_desc
372,force,12,,,,570,,,10,task_daily_372_desc
373,force,12,,,,670,,,15,task_daily_373_desc
374,get_tribute_times,12,,,,,,1,5,task_daily_374_desc
375,get_tribute_times,12,,,,,,2,10,task_daily_375_desc
376,get_tribute_times,12,,,,,,4,15,task_daily_376_desc
377,gold_totalamount,12,,,3800,,,,5,task_daily_377_desc
378,gold_totalamount,12,,,7600,,,,10,task_daily_378_desc
379,gold_totalamount,12,,,12700,,,,15,task_daily_379_desc
380,resource_revoke,12,,,1,,,,5,task_daily_380_desc
381,resource_revoke,12,,,2,,,,10,task_daily_381_desc
382,resource_revoke,12,,,4,,,,15,task_daily_382_desc
383,attack_npccity,12,,,,,,1,5,task_daily_383_desc
384,attack_npccity,12,,,,,,2,10,task_daily_384_desc
385,attack_npccity,12,,,,,,3,15,task_daily_385_desc
386,attack_pass,12,,,,,,1,5,task_daily_386_desc
387,attack_pass,12,,,,,,2,10,task_daily_387_desc
388,attack_pass,12,,,,,,3,15,task_daily_388_desc
