id,level,type,name,race,tribute_gold_buff,tribute_gold_buff_bonus,alliance_tribute_gold_buff,gold,lumber,marble,steel,food,lumber_buff,marble_buff,steel_buff,food_buff,stronghold_time_buff,durability,force,alliance_exp,size,rank_points,limit_time,limit_gem
"2,5,200,1",8,zone_capital,falsefront_center,dwarf,0,2.5,60,0,372000,372000,372000,372000,2430,0,0,7290,0.3,381000,0,1228800,m,10240,2336868,83
"2,5,200,0",8,zone_capital,falsefront_outside,dwarf,50,0,0,150,62000,62000,62000,62000,0,0,0,0,0.3,5438,1280,122880,,0,0,0
"2,5,201,1",5,normal,barnrogh_center,raider,0,2,30,0,144000,144000,144000,144000,2880,720,0,0,0,78000,0,187500,s,1250,551808,60
"2,5,201,0",5,normal,barnrogh_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"2,5,202,1",4,normal,hazelstorm_center,raider,0,2,24,0,72000,72000,72000,72000,0,1440,1440,0,0,19000,0,76800,s,640,361548,53
"2,5,202,0",4,normal,hazelstorm_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"2,6,200,1",7,zone_capital,saltcross_center,dwarf,0,2,48,0,282000,282000,282000,282000,2700,6300,0,0,0.3,315000,0,720300,m,6860,1303812,75
"2,6,200,0",7,zone_capital,saltcross_outside,dwarf,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"2,6,201,1",6,normal,kughgan_center,raider,0,2,36,0,216000,216000,216000,216000,3460,0,870,0,0,135000,0,388800,s,2160,825588,68
"2,6,201,0",6,normal,kughgan_outside,raider,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"2,6,202,1",4,normal,millstone_center,raider,0,2,24,0,72000,72000,72000,72000,0,2310,0,580,0,19000,0,76800,s,640,361548,53
"2,6,202,0",4,normal,millstone_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,8,200,1",7,zone_capital,northwich_center,raider,0,2,48,0,282000,282000,282000,282000,0,9000,0,0,0.3,315000,0,720300,m,6860,1303812,75
"3,8,200,0",7,zone_capital,northwich_outside,raider,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"3,8,201,1",5,normal,nem_todir_center,dwarf,0,2,30,0,144000,144000,144000,144000,0,1080,2520,0,0,78000,0,187500,s,1250,551808,60
"3,8,201,0",5,normal,nem_todir_outside,dwarf,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"3,8,202,1",4,normal,orkney_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"3,8,202,0",4,normal,orkney_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,8,203,1",6,normal,virnuhm_center,dwarf,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"3,8,203,0",6,normal,virnuhm_outside,dwarf,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"3,8,204,1",4,normal,leefside_center,raider,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"3,8,204,0",4,normal,leefside_outside,raider,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,7,200,1",7,zone_capital,nearon_center,raider,0,2,48,0,282000,282000,282000,282000,0,6750,0,2250,0.3,315000,0,720300,m,6860,1303812,75
"3,7,200,0",7,zone_capital,nearon_outside,raider,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"3,7,201,1",4,normal,deghuluhr_center,dwarf,0,2,24,0,72000,72000,72000,72000,0,2020,870,0,0,19000,0,76800,s,640,361548,53
"3,7,201,0",4,normal,deghuluhr_outside,dwarf,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,7,202,1",5,normal,trudid_center,raider,0,2,30,0,144000,144000,144000,144000,0,0,2700,900,0,78000,0,187500,s,1250,551808,60
"3,7,202,0",5,normal,trudid_outside,raider,25,0,0,60,24000,24000,24000,24000,0,0,0,0,0,2600,160,18750,,0,0,0
"3,7,203,1",4,normal,vaggari_center,dwarf,0,2,24,0,72000,72000,72000,72000,0,0,0,2880,0,19000,0,76800,s,640,361548,53
"3,7,203,0",4,normal,vaggari_outside,dwarf,20,0,0,30,12000,12000,12000,12000,0,0,0,0,0,938,80,7680,,0,0,0
"3,7,204,1",6,normal,nearon_center,raider,0,2,36,0,216000,216000,216000,216000,4320,0,0,0,0,135000,0,388800,s,2160,825588,68
"3,7,204,0",6,normal,nearon_outside,raider,30,0,0,110,36000,36000,36000,36000,0,0,0,0,0,2700,320,38880,,0,0,0
"3,1,200,1",7,zone_capital,iyesgarth_center,raider,0,2,48,0,282000,282000,282000,282000,1800,7200,0,0,0.3,315000,0,720300,m,6860,1303812,75
"3,1,200,0",7,zone_capital,iyesgarth_outside,raider,40,0,0,130,47000,47000,47000,47000,0,0,0,0,0.3,5250,640,72030,,0,0,0
"3,1,201,1",4,normal,delwihr_center,dwarf,0,2,24,0,72000,72000,72000,72000,2310,0,0,580,0,19000,0,76800,s,640,361548,53
