id,x,y
"2,1,202,1",370,829
"2,1,200,1",372,870
"2,8,202,1",359,929
"2,8,200,1",399,957
"6,7,202,1",442,31
"6,4,200,1",442,118
"6,4,202,1",417,158
"11,1,200,1",448,572
"2,3,201,1",423,731
"2,3,200,1",448,780
"2,2,201,1",430,848
"6,7,201,1",466,79
"6,4,201,1",476,151
"10,7,200,1",467,272
"10,6,200,1",454,356
"11,4,200,1",451,456
"11,5,200,1",500,501
"9,5,200,1",453,639
"2,3,202,1",474,746
"2,2,202,1",471,827
"2,2,200,1",461,876
"2,8,204,1",458,927
"2,8,203,1",454,985
"6,8,203,1",535,23
"6,8,204,1",544,66
"6,2,200,1",524,122
"6,2,202,1",532,175
"6,3,200,1",547,222
"6,3,202,1",523,267
"10,5,200,1",549,375
"9,7,200,1",533,740
"2,4,201,1",522,852
"2,7,201,1",540,930
"6,8,200,1",598,52
"6,2,201,1",571,150
"6,3,201,1",586,262
"11,3,200,1",552,428
"11,2,200,1",553,553
"9,6,200,1",551,654
"2,4,202,1",578,842
"2,4,200,1",558,878
"2,7,200,1",599,943
"2,7,202,1",568,976
"6,8,202,1",643,75
"6,1,200,1",647,122
"6,1,202,1",625,171
"5,4,201,1",649,223
"5,4,202,1",620,255
"10,4,200,1",640,368
"10,1,200,1",627,563
