hero,animation,function,time
hero_532,attack,ActionPlay,0.3
hero_532,skill,AudioPlay,0.4
hero_532,skill,ActionPlay,0.5
hero_532,victor,ActionPlay,0.2
hero_532,failed,ActionPlay,0.2
hero_532,failed,ActionEnd,0.2
hero_533,attack,ActionEnd,1.3
hero_533,attack,AudioPlay,0.4
hero_533,attack,ActionPlay,0.3
hero_533,skill,AudioPlay,0.4
hero_533,skill,ActionPlay,0.5
hero_533,victor,ActionPlay,0.2
hero_533,failed,ActionPlay,0.2
hero_533,failed,ActionEnd,0.2
hero_534,attack,ActionEnd,1.3
hero_534,attack,AudioPlay,0.4
hero_534,attack,ActionPlay,0.3
hero_534,skill,AudioPlay,0.4
hero_534,skill,ActionPlay,0.5
hero_534,victor,ActionPlay,0.2
hero_534,failed,ActionPlay,0.2
hero_534,failed,ActionEnd,0.2
hero_535,attack,ActionEnd,1.3
hero_535,attack,AudioPlay,0.4
hero_535,attack,ActionPlay,0.3
hero_535,skill,AudioPlay,0.4
hero_535,skill,ActionPlay,0.5
hero_535,victor,ActionPlay,0.2
hero_535,failed,ActionPlay,0.2
hero_535,failed,ActionEnd,0.2
hero_536,attack,ActionEnd,1.3
hero_536,attack,AudioPlay,0.4
hero_536,attack,ActionPlay,0.3
hero_536,skill,AudioPlay,0.4
hero_536,skill,ActionPlay,0.5
hero_536,victor,ActionPlay,0.2
hero_536,failed,ActionPlay,0.2
hero_536,failed,ActionEnd,0.2
hero_537,attack,ActionEnd,1.3
hero_537,attack,AudioPlay,0.4
hero_537,attack,ActionPlay,0.3
hero_537,skill,AudioPlay,0.4
hero_537,skill,ActionPlay,0.5
hero_537,victor,ActionPlay,0.2
hero_537,failed,ActionPlay,0.2
hero_537,failed,ActionEnd,0.2
hero_538,attack,ActionEnd,1.3
hero_538,attack,AudioPlay,0.4
hero_538,attack,ActionPlay,0.3
hero_538,skill,AudioPlay,0.4
