name,trigger,percent,hp_percent,trigger_interval,max_trigger_times,effect,description,cast_effect
hero_405_skill_1,default,0.25,0,0,20,hero_405_skill_1_1,skilldes_hero_405_skill_1,
hero_008_skill_1,default,0.25,0,0,20,hero_008_skill_1_1,skilldes_hero_008_skill_1,
hero_109_skill_1,default,0.25,0,0,20,"hero_109_skill_1_1,hero_109_skill_1_2",skilldes_hero_109_skill_1,
hero_106_skill_1,default,0.33,0,0,20,"hero_106_skill_1_1,hero_106_skill_1_2",skilldes_hero_106_skill_1,
hero_108_skill_1,hitme,1,0,0,20,hero_108_skill_1_1,skilldes_hero_108_skill_1,
hero_107_skill_1,ihit,1,0,0,20,hero_107_skill_1_1,skilldes_hero_107_skill_1,
hero_211_skill_1,halo,1,0,0,20,"hero_211_skill_1_1,hero_211_skill_1_2",skilldes_hero_211_skill_1,
hero_111_skill_1,default,0.33,0,0,20,hero_111_skill_1_1,skilldes_hero_111_skill_1,
hero_110_skill_1,default,0.33,0,0,20,hero_110_skill_1_1,skilldes_hero_110_skill_1,
hero_105_skill_1,default,0.5,0,4,20,hero_105_skill_1_1,skilldes_hero_105_skill_1,
hero_201_skill_1,default,0.3,0,0,20,hero_201_skill_1_1,skilldes_hero_201_skill_1,
hero_101_skill_1,default,1,0,3,20,hero_101_skill_1_1,skilldes_hero_101_skill_1,
hero_009_skill_1,halo,1,0,0,20,"hero_009_skill_1_1,hero_009_skill_1_2",skilldes_hero_009_skill_1,
hero_011_skill_1,default,0.4,0,1,20,hero_011_skill_1_1,skilldes_hero_011_skill_1,
hero_010_skill_1,hitme,0.33,0,0,20,hero_010_skill_1_1,skilldes_hero_010_skill_1,
hero_204_skill_1,default,0.4,0,0,20,"hero_204_skill_1_1,hero_204_skill_1_2",skilldes_hero_204_skill_1,
hero_202_skill_1,default,0.25,0,0,20,hero_202_skill_1_1,skilldes_hero_202_skill_1,
hero_203_skill_1,default,0.5,0,2,20,"hero_203_skill_1_1,hero_203_skill_1_2",skilldes_hero_203_skill_1,
hero_104_skill_1,halo,1,0,0,20,"hero_104_skill_1_1,hero_104_skill_1_2",skilldes_hero_104_skill_1,
hero_007_skill_1,default,0.33,0,0,20,hero_007_skill_1_1,skilldes_hero_007_skill_1,
hero_004_skill_1,default,0.3,0,2,20,hero_004_skill_1_1,skilldes_hero_004_skill_1,
hero_012_skill_1,default,0.33,0,0,20,hero_012_skill_1_1,skilldes_hero_012_skill_1,
hero_207_skill_1,halo,1,0,0,20,"hero_207_skill_1_1,hero_207_skill_1_2",skilldes_hero_207_skill_1,
hero_005_skill_1,default,0.33,0,0,20,hero_005_skill_1_1,skilldes_hero_005_skill_1,
hero_210_skill_1,default,0.5,0,1,20,hero_210_skill_1_1,skilldes_hero_210_skill_1,
hero_208_skill_1,default,0.25,0,0,20,"hero_208_skill_1_1,hero_208_skill_1_2",skilldes_hero_208_skill_1,
hero_206_skill_1,hitme,0.25,0,0,20,hero_206_skill_1_1,skilldes_hero_206_skill_1,
hero_307_skill_1,dead,1,0,0,20,hero_307_skill_1_1,skilldes_hero_307_skill_1,
hero_306_skill_1,default,0.32,0,0,20,hero_306_skill_1_1,skilldes_hero_306_skill_1,
hero_006_skill_1,battlestart,0.6,0,0,20,hero_006_skill_1_1,skilldes_hero_006_skill_1,
hero_003_skill_1,default,0.25,0,0,20,hero_003_skill_1_1,skilldes_hero_003_skill_1,
hero_303_skill_1,default,0.33,0,0,20,hero_303_skill_1_1,skilldes_hero_303_skill_1,
hero_302_skill_1,ihit,0.8,0,0,20,hero_302_skill_1_1,skilldes_hero_302_skill_1,
hero_205_skill_1,battlestart,0.75,0,0,20,hero_205_skill_1_1,skilldes_hero_205_skill_1,
hero_001_skill_1,default,0.38,0,0,20,hero_001_skill_1_1,skilldes_hero_001_skill_1,
hero_305_skill_1,default,0.4,0,0,20,hero_305_skill_1_1,skilldes_hero_305_skill_1,
hero_209_skill_1,battlestart,0.25,0,0,20,"hero_209_skill_1_1,hero_209_skill_1_2",skilldes_hero_209_skill_1,
hero_212_skill_1,hitme,0.25,0,0,20,hero_212_skill_1_1,skilldes_hero_212_skill_1,
hero_102_skill_1,hitme,0.33,0,0,20,hero_102_skill_1_1,skilldes_hero_102_skill_1,
hero_401_skill_1,ihit,0.4,0,0,20,"hero_401_skill_1_1,hero_401_skill_1_2",skilldes_hero_401_skill_1,
hero_403_skill_1,ihit,1,0,0,20,hero_403_skill_1_1,skilldes_hero_403_skill_1,
hero_002_skill_1,hitme,0.5,0,0,20,hero_002_skill_1_1,skilldes_hero_002_skill_1,
hero_301_skill_1,default,0.4,0,0,20,hero_301_skill_1_1,skilldes_hero_301_skill_1,
hero_406_skill_1,default,0.25,0,0,20,"hero_406_skill_1_1,hero_406_skill_1_2",skilldes_hero_406_skill_1,
hero_402_skill_1,default,0.4,0,0,20,hero_402_skill_1_1,skilldes_hero_402_skill_1,
hero_304_skill_1,default,0.4,0,0,20,"hero_304_skill_1_1,hero_304_skill_1_2",skilldes_hero_304_skill_1,
hero_103_skill_1,dead,1,0,10,20,hero_103_skill_1_1,skilldes_hero_103_skill_1,
hero_112_skill_1,ihit,1,0,0,20,"hero_112_skill_1_1,hero_112_skill_1_2",skilldes_hero_112_skill_1,
hero_404_skill_1,default,0.4,0,0,20,"hero_404_skill_1_1,hero_404_skill_1_2",skilldes_hero_404_skill_1,
hero_407_skill_1,battlestart,1,0,0,20,"hero_407_skill_1_1,hero_407_skill_1_2",skilldes_hero_407_skill_1,
