name,force,interval,gem,gold,lumber,marble,steel,food,crystal
tribute_601,275585,3,0,39,225000,45000,45000,45000,0
tribute_602,275585,3,0,39,45000,225000,45000,45000,0
tribute_603,275585,3,0,39,45000,45000,225000,45000,0
tribute_604,275585,3,0,39,45000,45000,45000,90000,0
tribute_605,625265,3,0,57,265900,53200,53200,53200,0
tribute_606,625265,3,0,57,53200,265900,53200,53200,0
tribute_607,625265,3,0,57,53200,53200,265900,53200,0
tribute_608,625265,3,0,57,53200,53200,53200,106400,0
tribute_609,625265,3,0,57,265900,53200,53200,53200,0
tribute_610,625265,3,0,57,53200,265900,53200,53200,0
tribute_611,625265,3,0,57,53200,53200,265900,53200,0
tribute_612,625265,3,0,57,53200,53200,53200,106400,0
tribute_613,625265,3,0,57,265900,53200,53200,53200,0
tribute_614,625265,3,0,57,53200,265900,53200,53200,0
tribute_615,625265,3,0,57,53200,53200,265900,53200,0
tribute_616,625265,3,0,57,53200,53200,53200,106400,0
tribute_617,625265,3,0,57,265900,53200,53200,53200,0
tribute_618,625265,3,0,57,53200,265900,53200,53200,0
tribute_619,625265,3,0,57,53200,53200,265900,53200,0
tribute_620,625265,3,0,57,53200,53200,53200,106400,0
tribute_621,625265,3,0,57,265900,53200,53200,53200,0
tribute_622,625265,3,0,57,53200,265900,53200,53200,0
tribute_623,625265,3,0,57,53200,53200,265900,53200,0
tribute_624,625265,3,0,57,53200,53200,53200,106400,0
tribute_625,625265,3,0,57,265900,53200,53200,53200,0
tribute_626,625265,3,0,57,53200,265900,53200,53200,0
tribute_627,625265,3,0,57,53200,53200,265900,53200,0
tribute_628,625265,3,0,57,53200,53200,53200,106400,0
tribute_629,625265,3,0,57,265900,53200,53200,53200,0
tribute_630,625265,3,0,57,53200,265900,53200,53200,0
tribute_631,625265,3,0,57,53200,53200,265900,53200,0
tribute_632,625265,3,0,57,53200,53200,53200,106400,0
tribute_633,625265,3,0,57,265900,53200,53200,53200,0
tribute_634,625265,3,0,57,53200,265900,53200,53200,0
tribute_635,625265,3,0,57,53200,53200,265900,53200,0
tribute_636,625265,3,0,57,53200,53200,53200,106400,0
tribute_637,625265,3,0,57,265900,53200,53200,53200,0
tribute_638,625265,3,0,57,53200,265900,53200,53200,0
tribute_639,625265,3,0,57,53200,53200,265900,53200,0
tribute_640,625265,3,0,57,53200,53200,53200,106400,0
tribute_641,625265,3,0,57,265900,53200,53200,53200,0
tribute_642,625265,3,0,57,53200,265900,53200,53200,0
tribute_643,625265,3,0,57,53200,53200,265900,53200,0
tribute_644,625265,3,0,57,53200,53200,53200,106400,0
tribute_645,625265,3,0,57,265900,53200,53200,53200,0
tribute_646,625265,3,0,57,53200,265900,53200,53200,0
tribute_647,625265,3,0,57,53200,53200,265900,53200,0
tribute_648,625265,3,0,57,53200,53200,53200,106400,0
tribute_649,625265,3,0,57,265900,53200,53200,53200,0
tribute_650,625265,3,0,57,53200,265900,53200,53200,0
