level,rarity,type,gold,food,lumber,marble,steel,crystal,duration
22,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
23,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
23,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
23,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
24,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
24,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
24,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
25,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
25,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
25,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
26,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
26,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
26,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
27,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
27,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
27,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
28,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
28,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
28,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
29,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
29,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
29,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
30,5,paper,0,0.45,0.14,0.14,0.22,0,0.08
30,5,scissors,0,0.45,0.14,0.22,0.14,0,0.08
30,5,rock,0,0.45,0.22,0.14,0.14,0,0.08
